ts,bus_voltage,shunt_voltage,load_voltage,current,power
230823182332,2.62,5.03,2.62,50.20,132.00
230823182332,2.62,5.59,2.63,55.80,140.00
230823182333,2.62,5.43,2.62,55.30,144.00
230823182333,2.62,5.07,2.62,51.70,134.00
230823182333,2.61,5.50,2.62,54.60,144.00
230823182333,2.62,5.05,2.62,50.40,132.00
230823182333,2.62,5.03,2.62,51.30,134.00
230823182333,2.62,5.14,2.62,48.90,128.00
230823182333,2.62,5.37,2.62,54.00,140.00
230823182333,2.62,4.93,2.62,50.20,132.00
230823182334,2.62,5.56,2.62,54.80,144.00
230823182334,2.62,5.32,2.62,54.20,140.00
230823182334,2.62,4.88,2.62,48.80,128.00
230823182334,2.62,5.01,2.62,51.90,134.00
230823182334,2.62,5.33,2.62,54.00,140.00
230823182334,2.62,5.05,2.62,51.70,134.00
230823182334,2.62,5.22,2.62,48.80,128.00
230823182335,2.62,5.18,2.63,52.10,138.00
230823182335,2.62,4.84,2.62,49.60,132.00
230823182335,2.62,4.92,2.62,50.10,134.00
230823182335,2.62,5.29,2.62,52.50,138.00
230823182335,2.62,5.28,2.62,50.40,132.00
230823182335,2.62,5.04,2.62,51.90,134.00
230823182335,2.62,5.32,2.62,52.60,138.00
230823182335,2.62,5.17,2.62,52.40,138.00
230823182336,2.62,5.28,2.62,53.40,140.00
230823182336,2.62,5.19,2.62,52.50,138.00
230823182336,2.62,4.94,2.62,50.70,134.00
230823182336,2.62,5.48,2.62,53.80,140.00
230823182336,2.62,5.32,2.62,55.00,144.00
230823182336,2.62,5.03,2.63,53.20,138.00
230823182336,2.62,5.07,2.62,48.80,128.00
230823182337,2.62,4.93,2.62,48.30,128.00
230823182337,2.62,5.12,2.63,51.90,138.00
230823182337,2.62,4.96,2.62,48.90,132.00
230823182337,2.62,5.36,2.63,53.20,138.00
230823182337,2.62,5.43,2.62,52.90,138.00
230823182337,2.62,5.13,2.62,53.20,138.00
230823182337,2.62,5.01,2.62,50.30,132.00
230823182337,2.62,5.21,2.62,49.00,128.00
230823182338,2.62,5.25,2.62,52.80,138.00
230823182338,2.62,5.25,2.62,52.70,138.00
230823182338,2.61,5.08,2.62,49.20,128.00
230823182338,2.62,5.24,2.63,53.30,140.00
230823182338,2.62,5.34,2.62,54.00,140.00
230823182338,2.62,4.66,2.62,45.50,122.00
230823182338,2.62,5.01,2.63,51.00,134.00
230823182339,2.62,5.37,2.62,54.60,144.00
230823182339,2.62,4.88,2.62,50.20,134.00
230823182339,2.62,4.96,2.62,50.70,132.00
230823182339,2.62,5.34,2.62,53.20,138.00
230823182339,2.62,5.19,2.62,51.50,132.00
230823182339,2.62,5.40,2.62,53.20,138.00
230823182339,2.62,5.45,2.62,54.20,140.00
230823182340,2.62,4.75,2.62,50.50,132.00
230823182340,2.62,5.15,2.62,52.00,134.00
230823182340,2.62,5.03,2.62,49.80,132.00
230823182340,2.61,5.28,2.62,51.60,134.00
230823182340,2.62,5.19,2.62,52.30,138.00
230823182340,2.62,4.88,2.62,48.90,132.00
230823182340,2.62,4.91,2.62,48.40,128.00
230823182340,2.62,4.98,2.62,50.00,132.00
230823182341,2.62,5.03,2.62,50.30,132.00
230823182341,2.62,5.12,2.63,51.70,134.00
230823182341,2.62,4.91,2.62,48.30,128.00
230823182341,2.62,5.41,2.62,52.90,138.00
230823182341,2.62,5.18,2.62,51.00,134.00
230823182341,2.62,4.81,2.62,47.90,128.00
230823182341,2.62,4.49,2.62,45.20,122.00
230823182342,2.62,5.06,2.62,50.60,132.00
230823182342,2.62,5.18,2.63,52.90,134.00
230823182342,2.62,4.94,2.62,50.10,134.00
230823182342,2.62,5.06,2.62,51.20,134.00
230823182342,2.62,5.10,2.63,49.00,132.00
230823182342,2.61,5.01,2.62,51.40,134.00
230823182342,2.62,5.27,2.62,53.30,140.00
230823182342,2.62,5.20,2.63,49.80,132.00
230823182343,2.62,5.39,2.62,52.00,138.00
230823182343,2.62,5.37,2.62,54.20,140.00
230823182343,2.62,4.94,2.62,49.60,132.00
230823182343,2.61,5.53,2.62,54.90,144.00
230823182343,2.62,5.06,2.62,51.20,134.00
230823182343,2.62,5.02,2.62,50.80,140.00
230823182343,2.62,5.46,2.63,52.50,134.00
